proj,agent,model,turns,tok,out,reads,dup_before,dup_after,final,mins
-Code-ChessBot,designdecision,claude-opus-5,10,529845,26359,3,0,0,14911,4.9
-Code-ChessBot,verifyrules0-2,claude-fable-5-1,13,521103,3958,3,1,0,1909,1.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FoundationsContext,gpt-5.6-terra,12,506703,15243,5,0,0,24115,3.0
-Code-ChessBot,FixAgentKillVerify,claude-fable-5,10,506335,19425,3,1,3,3310,3.3
-Code-ChessBot,ReviewContainment,claude-fable-5-1,14,501587,8049,3,0,2,1922,2.2
-Code-ChessBot,IntelScraper,claude-fable-5,11,501203,10983,3,0,0,2595,2.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-4,claude-opus-5,10,500896,8844,10,0,0,0,2.0
-Code-ChessBot,CloseoutIssueMap,claude-opus-5,6,499824,10409,14,0,0,13986,0.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-7,claude-opus-5,10,499720,8167,15,0,0,0,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DispatchResultsReplacement,claude-opus-5,9,493473,7246,0,0,0,3527,1.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CodingInteraction,gpt-5.6-terra,11,485382,17003,5,0,0,32336,3.1
-Code-Trades,MarketSanity,claude-fable-5,9,485291,16888,1,0,0,10881,4.9
-Code-ChessBot,CpusetAlloc,claude-fable-5,9,484038,16391,3,3,0,3467,2.7
-Code-ChessBot,verifylegality2,claude-fable-5-1,12,480516,5398,4,1,0,1785,1.0
-Code-Trades,ArtifactConventionAudit,gpt-5.6-terra,16,478379,7320,11,2,3,11154,1.3
-Code-ChessBot,verifytiming0,claude-fable-5-1,10,477879,9090,5,2,0,2059,1.6
-Code-ChessBot,verifylegality0,claude-fable-5-1,12,470783,6855,4,1,0,2078,1.4
-Code-ChessBot,StaleFactScout,gpt-5.6-terra,14,469249,6874,6,4,3,8426,1.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoryTools,gpt-5.6-terra,12,468814,18964,7,0,0,34381,3.4
-Code-ChessBot,PanelEvidence,claude-opus-5,10,461747,14300,16,1,3,20212,1.3
-Code-ChessBot,RedTeam458,claude-fable-5-1,12,461569,6781,2,0,0,4675,12.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,WikiSkillScout,gpt-5.6-terra,9,459936,4347,1,0,0,9448,0.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MechanismProgramme,claude-fable-5,8,459273,11688,4,3,0,2680,2.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Sec1,gpt-5.6-terra,6,456464,5319,13,1,1,4212,0.7
-Code-Trades,CliIndependentWalk,gpt-5.6-sol,14,450414,5806,2,1,1,712,2.2
-Code-ChessBot,FixInboxPgid,claude-fable-5,10,448768,16453,2,1,1,3491,2.9
-Code-Trades,CliRawCapture,gpt-5.6-sol,18,445353,7346,3,1,1,224,8.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,policy-note,gpt-5.6-terra,19,443637,4007,3,0,0,69,2.2
-Code-ChessBot,FixConfirmRecovery,claude-fable-5,10,441828,8203,2,0,2,2035,1.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,EvolutionCollaboration,gpt-5.6-terra,11,440175,17016,5,0,0,31179,5.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OwnerPreferenceCorpus,gpt-5.6-terra,12,432766,3838,7,0,0,6405,0.7
-Code-ChessBot,ResearchVast,gpt-5.6-terra,18,430304,5808,6,0,1,4992,2.1
-Code-ChessBot,TierOne,claude-fable-5,10,429561,17542,2,0,0,2401,2.8
-Code-ChessBot,verifyresources2,claude-fable-5-1,12,429524,3682,4,1,0,1775,0.7
-Code-ChessBot,ResearchRunPod,gpt-5.6-terra,20,425547,5167,9,0,1,6205,2.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-11,claude-opus-5,8,425216,9176,6,0,0,0,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RegistryGraveyard,gpt-5.6-terra,10,423246,8847,3,0,0,19903,0.7
-Code-ChessBot-worktrees-campaign-2800,OpponentScout,claude-opus-5,7,422576,9576,4,0,0,8221,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PageCheck,claude-fable-5-1,9,421197,8060,2,0,0,3165,1.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProseDiffer,gpt-5.6-terra,15,419329,19245,6,0,0,60959,1.3
-Code-ChessBot-worktrees-campaign-2800,DataProvenance,claude-opus-5,8,418661,12630,11,0,0,15796,1.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-3,claude-opus-5,8,416640,8356,15,0,0,0,1.7
-Code-Agentic Obsidian Vault-Agentic-dissertation,Interrogator,claude-fable-5,6,407443,33180,1,0,0,2696,6.8
-Code-ChessBot,FixAgentKill,claude-fable-5,10,401811,5082,2,1,2,1801,1.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Reconcile,gpt-5.6-terra,5,398511,19295,17,2,0,25412,1.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-2,claude-opus-5,9,398242,8551,17,0,0,0,1.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,BaoyuResources,claude-opus-5,7,392015,10736,18,0,0,18165,0.7
-Code-ChessBot,FieldEvidence,claude-opus-5,7,389524,10660,6,1,3,16604,0.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PrecisionLanguage,claude-fable-5,8,388638,5712,2,1,0,1767,1.0
-Code-ChessBot,HistoricalDelayTrace,claude-opus-5,7,386888,11129,13,1,0,14572,0.6
-Code-ChessBot,verifyrules1,claude-fable-5-1,11,385550,4794,3,0,0,2267,0.9
-Code-ChessBot,PauseDiagnosis,gpt-5.6-terra,14,374168,10441,2,0,1,7897,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RlmBlogScout,gpt-5.6-terra,12,371781,7769,10,1,0,11430,1.0
-Code-ChessBot,AstraCaps,claude-opus-5,6,371188,5128,6,0,0,4657,2.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-9,claude-opus-5,8,363250,9601,6,0,0,0,2.0
-Code-ChessBot,PackageAudit,claude-fable-5,8,354894,16457,1,0,0,3270,2.9
-Code-ChessBot,designcost,claude-opus-5,8,350266,22457,1,0,0,12161,4.1
-Code-Trades,IntradayMomentumPaper,gpt-5.6-terra,9,346728,4375,3,0,0,10922,0.5
-Code-ChessBot,designoncall,claude-opus-5,8,344302,16574,2,0,0,13461,2.9
-Code-ChessBot-worktrees-campaign-2800,TrainerCapacity,claude-opus-5,8,337054,9704,1,0,0,12275,0.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-8,claude-opus-5,9,336587,5396,4,0,0,0,1.3
-Code-ChessBot,verifyresources0-2,claude-fable-5-1,9,334342,3912,3,1,0,1880,0.8
-Code-ChessBot,FixRunbookF4F5,claude-fable-5,8,330993,7015,1,1,0,2433,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ConstantinidesMEng,gpt-5.6-terra,12,329660,8054,2,0,0,5744,1.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Sec4,gpt-5.6-terra,5,327974,11072,12,1,1,4682,1.8
-Code-ChessBot,OpeningBanks,claude-fable-5-1,8,326137,6161,4,0,0,1939,1.0
-Code-ChessBot,verifyresources1,claude-fable-5-1,9,322590,3440,3,1,0,1576,0.8
-Code-ChessBot,RulesScout,gpt-5.6-terra,12,315833,6775,4,0,2,13013,1.7
-Code-ChessBot,verifyrules2-2,claude-fable-5-1,8,314382,7321,5,0,0,2487,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation,ChainScribe,claude-fable-5,5,313001,7796,3,0,0,1893,1.5
-Code-ChessBot,ResearchLambda,gpt-5.6-terra,11,306297,3821,6,0,2,6687,1.4
-Code-ChessBot,Baselines,claude-fable-5,7,298411,15854,2,0,0,2037,3.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-10,claude-opus-5,8,296374,8512,8,0,0,0,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoProcessControls,gpt-5.6-terra,10,295864,4079,5,0,0,11069,0.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VisConverge,gpt-5.6-terra,6,295139,15319,11,0,2,27780,0.9
-Code-ChessBot,ProtocolV2Draft,claude-fable-5-1,7,294439,5721,1,1,0,1424,1.3
-Code-ChessBot,RemainingPathAudit,claude-opus-5,6,284242,9985,8,5,1,16242,0.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralOverview,claude-opus-5,6,282455,1909,1,0,0,1500,4.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralResults,claude-opus-5,6,280149,1547,0,0,0,802,4.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralLiterature,claude-opus-5,6,276614,1980,1,0,0,1093,3.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralDiscussion,claude-opus-5,6,274831,1821,0,0,0,1405,4.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralMethods,claude-opus-5,6,274273,1794,0,0,0,1029,4.9
-Code-Trades,NumbersAudit,claude-fable-5,6,273755,9650,0,0,0,7318,1.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,OralIntroduction,claude-opus-5,6,270654,1824,0,0,0,1002,2.8
-Code-ChessBot,verifynnue2,claude-fable-5-1,8,269937,2240,2,0,0,1519,0.4
-Code-ChessBot,DeepResearchMigrate,claude-fable-5-1,6,268526,5472,4,0,1,5484,0.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Sec3,gpt-5.6-terra,4,265991,6576,12,1,1,3816,1.3
-Code-ChessBot,PreUploadVerify,claude-fable-5-1,7,264062,3797,1,0,0,2832,2.7
-Code-ChessBot,IsbotAliasFix,claude-fable-5-1,7,257406,2283,2,0,0,1192,0.4
-Code-ChessBot,Sec3aWording,claude-fable-5-1,7,256775,3033,1,0,1,2054,0.5
-Code-ChessBot,AsymProbe,claude-fable-5-1,7,256553,3310,3,0,0,2526,0.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Figures,claude-fable-5-1,6,250554,3363,4,0,0,0,1.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ModelProbe,claude-opus-5,6,247809,570,0,0,0,23,9.1
-Code-ChessBot,verifynnue1,claude-fable-5-1,7,234175,2280,2,0,0,1467,0.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,resume-fix,gpt-5.6-terra,10,228289,3485,0,0,0,2126,1.2
-Code-ChessBot,PipStallFix,gpt-5.6-sol,9,225450,2559,2,1,1,851,0.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,pr26-fetch,gpt-5.6-terra,9,216301,5954,0,0,0,190,2.0
-Code-ChessBot,ReviewAstraStrategy,claude-opus-5,4,207600,4384,3,1,0,7345,0.2
-Code-ChessBot,verifynnue0,claude-fable-5-1,6,206559,2626,3,1,0,1536,0.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,oo-options,gpt-5.6-terra,7,202474,3337,5,0,1,140,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-1,claude-opus-5,6,200808,7035,8,0,0,0,1.5
-Code-ChessBot,Watchdog187p,gpt-5.6-terra,11,179202,1451,0,0,0,0,15.7
-Code-ChessBot,SystemAugmentorMigrate,gpt-5.6-terra,8,172797,1520,3,0,0,1848,0.7
-Code-ChessBot,SynthesizeEngine,claude-opus-5,4,163097,4896,4,0,1,6160,0.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReasoningBankScout,gpt-5.6-terra,4,155561,4818,1,0,0,12354,0.1
-Code-Trades,DirectQuoteWalk,gpt-5.6-terra,10,146884,1855,5,1,0,1292,1.2
-Code-ChessBot,WatchPaid,gpt-5.6-terra,9,142552,1404,0,0,0,0,62.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Paper1Excellent,gpt-5.6-terra,6,130707,9068,2,0,0,7633,1.2
-Code-ChessBot,SynthesizeAdmission,claude-opus-5,4,130597,3637,4,0,1,6117,0.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Sec2,gpt-5.6-terra,3,129844,5262,10,1,1,6066,0.4
-Code-ChessBot,upload-handoff-record,claude-opus-5,4,125752,1510,1,1,0,1179,0.2
-Code-ChessBot,ReviewAstraCore,claude-opus-5,3,122684,4875,3,0,0,6241,0.1
-Code-ChessBot,ReviewAstraLearning,claude-opus-5,3,117312,3914,2,0,1,5653,0.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HarnessOrchestration,gpt-5.6-terra,6,116751,3358,5,0,0,15211,0.2
-Code-ChessBot,ReviewAstraAdmission,claude-opus-5,3,114786,3180,3,2,0,6679,0.1
-Code-ChessBot,WatchParked,gpt-5.6-terra,7,102820,489,0,0,0,0,64.0
-Code-ChessBot,Watchdog166b,gpt-5.6-terra,6,102584,496,0,0,0,224,60.3
-Code-ChessBot,Surf161,gpt-5.6-terra,5,89676,2060,1,0,0,2502,2.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HarnessMemoryControls,gpt-5.6-terra,6,81991,3585,5,1,0,11336,0.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ModelProbe-2,claude-opus-5,2,81169,107,0,0,0,76,0.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HarnessDecisionChallenge,claude-fable-5,2,65726,4684,5,4,0,2903,0.1
-Code-ChessBot,Surf160,gpt-5.6-terra,3,45772,801,1,0,0,2657,0.1
-Code-ChessBot,Surf159,gpt-5.6-terra,3,45442,1114,1,0,1,2680,0.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,omp-config-check,gpt-5.6-terra,2,42475,454,0,0,0,536,0.1
-Code-ChessBot,Watchdog187k,gpt-5.6-terra,3,33879,330,0,0,0,0,3.1
-Code-Trades,ArticleEvidence,gpt-5.6-terra,2,33383,2796,1,1,0,11410,0.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,WarpBlogScout,gpt-5.6-terra,2,28962,2614,1,0,0,11583,0.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,orchestrate-ab-probe,gpt-5.6-terra,1,17702,260,0,0,0,0,0.0
-Code-ChessBot,Watchdog187s,gpt-5.6-terra,2,16845,152,0,0,0,0,0.7
-Code-ChessBot,Watchdog187q,gpt-5.6-terra,2,16817,137,0,0,0,0,0.2
